"Geo_area"	"Element"	"min"	"2.5_quant"	"mean"	"median"	"97.5_quant"	"max"
"1"	"Northeast Atlantic"	"N"	103.275684496469	109.808394428446	152.358678136271	152.938855865269	198.207652711052	207.279070582656
"2"	"Northeast Atlantic"	"P"	8.79100588537711	9.97752306904964	14.4137351880578	14.4668552676613	19.4096831560574	21.3236167345782
"3"	"Northeast Atlantic"	"Fe"	0.0553431327652299	0.0710016137653939	0.161197586394229	0.141508824205128	0.424295732973223	0.730613507715421
"4"	"Northeast Atlantic"	"Cu"	0.0239747547579563	0.0257942234693944	0.0673170235025919	0.0623540278721511	0.119795673145484	0.126087143070829
"5"	"Northeast Atlantic"	"Mn"	0.00239235037454688	0.00268597461403454	0.00588349450803802	0.00504783405926842	0.0141605129837751	0.0255819856671788
"6"	"Northeast Atlantic"	"Se"	0.0022300364539566	0.00250460111814584	0.00455202155286753	0.00454986517911052	0.00709600771775852	0.00951023130970953
"7"	"Northeast Atlantic"	"Zn"	0.0574993779897158	0.0632136219266661	0.0985684668617999	0.0958906846893322	0.160925803006361	0.17678399811203
"8"	"Northeast Atlantic"	"Co"	8.7308694289247e-05	0.000102559438475111	0.000259532104816489	0.000217530404343815	0.000568540890739995	0.000731968412376535
"9"	"Northeast Atlantic"	"As"	0.015955372273697	0.0206956837578018	0.0424481717891407	0.0396859422913865	0.0763791943530264	0.100909339409954
"10"	"Central North Atlantic"	"N"	86.201516523931	99.9875427945289	141.249220717276	139.866610949874	186.202421887149	222.19921669686
"11"	"Central North Atlantic"	"P"	7.19194697887502	8.45547258579629	12.5059814917033	12.5253248358603	17.2929016651837	18.841007135152
"12"	"Central North Atlantic"	"Fe"	0.0311836859283036	0.0496701085669621	0.148007542412925	0.120956760387196	0.445941712377525	0.669015318327933
"13"	"Central North Atlantic"	"Cu"	0.025897832296436	0.0316041935099813	0.0729362285726495	0.0705951977042921	0.117995019967074	0.139840159433189
"14"	"Central North Atlantic"	"Mn"	0.00195023055549899	0.00217803150614841	0.00511141109934991	0.00428915455783827	0.0158725298241444	0.0288064462131738
"15"	"Central North Atlantic"	"Se"	0.00215687403775013	0.00243956585150362	0.00412525823452836	0.00409097081939558	0.00616375644027528	0.00688132998910253
"16"	"Central North Atlantic"	"Zn"	0.0511271148079108	0.0659274406623042	0.0934997569935171	0.0898119577551676	0.133712852736129	0.15655523939152
"17"	"Central North Atlantic"	"Co"	8.18075439471934e-05	0.000104872714468382	0.000256971477498858	0.000242888306408702	0.000518102166790384	0.000600424268551419
"18"	"Central North Atlantic"	"As"	0.0137215450809217	0.0185333124653685	0.0418358020496016	0.0408811822338859	0.0726297508194056	0.0945610308172562
"19"	"Gulf of Alaska"	"N"	41.2238159707234	45.2156213820049	102.445721061167	98.1868696610073	189.262332761687	199.863447159458
"20"	"Gulf of Alaska"	"P"	3.8358844962749	4.55160311658109	9.72630867413391	9.4979926358585	17.1529449979191	19.5396387354574
"21"	"Gulf of Alaska"	"Fe"	0.0196002923569795	0.0275544063215297	0.143283094283273	0.0911524955736737	0.494448148989999	1.30139745554226
"22"	"Gulf of Alaska"	"Cu"	0.0148835967044207	0.021260863242195	0.0648861900542652	0.0608590974161479	0.135802752794467	0.146164768071326
"23"	"Gulf of Alaska"	"Mn"	0.000878055974698328	0.00112689298656524	0.00533230718365411	0.00374521761249792	0.0239890904918517	0.0499859172576223
"24"	"Gulf of Alaska"	"Se"	0.00106387708632895	0.00115743896666217	0.00284370759104795	0.00260660562890292	0.00547732136194561	0.00874589687514589
"25"	"Gulf of Alaska"	"Zn"	0.0236156854365753	0.027491834820906	0.0636578771016368	0.0584694536139533	0.112835198546503	0.178408852455995
"26"	"Gulf of Alaska"	"Co"	3.51029091824283e-05	4.82886683803154e-05	0.000227109722058987	0.000183876661565412	0.000641519767474593	0.000782069803390965
"27"	"Gulf of Alaska"	"As"	0.00432187783545407	0.00667243537456083	0.035575635629157	0.0266574554376977	0.0926763231092529	0.100868737647851
"28"	"Northwest Atlantic"	"N"	47.5906169735626	52.3107654543646	76.5598320867793	75.6797412467319	113.021224958058	116.132378293326
"29"	"Northwest Atlantic"	"P"	4.2816428387464	4.8334630314001	7.25109287614058	7.11633298647773	11.0908282145102	12.1381090800902
"30"	"Northwest Atlantic"	"Fe"	0.0331199470069183	0.0354613618641663	0.0726713240949729	0.0655817677995491	0.173765968499703	0.244474315129938
"31"	"Northwest Atlantic"	"Cu"	0.0106700530903609	0.012233947273293	0.0265860772823268	0.0254255675783763	0.049058915318119	0.0595178444647268
"32"	"Northwest Atlantic"	"Mn"	0.000985571746627106	0.00134366650939591	0.00273809073861106	0.00244094820282874	0.00542769754865866	0.0127385929202711
"33"	"Northwest Atlantic"	"Se"	0.00125670943934381	0.00133752582672466	0.00233289838902063	0.00224852834358449	0.00414770554366133	0.00472303139084608
"34"	"Northwest Atlantic"	"Zn"	0.0303409029425088	0.0341817305376823	0.0501736571149876	0.0475054102419244	0.0790431524648091	0.099247675337966
"35"	"Northwest Atlantic"	"Co"	5.37808088830837e-05	5.83288900349389e-05	0.000115028766964568	0.000105040752471791	0.000219339790680131	0.000260149302926138
"36"	"Northwest Atlantic"	"As"	0.00896938837309054	0.0105468624841089	0.0195092132841652	0.018504591477865	0.0338296738798785	0.0386459866129172
"37"	"California current"	"N"	26.0849452572906	29.2646017089592	42.4320192201588	42.6191374719367	60.666968979545	68.132652207394
"38"	"California current"	"P"	2.27906887687697	2.77355316501308	4.25246026809439	4.22603164903683	6.34841170564928	6.93424612173299
"39"	"California current"	"Fe"	0.0159369957641151	0.0191418495293311	0.047074250739312	0.0425859592440477	0.120598538323403	0.186815206275349
