"Geo_area"	"Element"	"min"	"2.5_quant"	"mean"	"median"	"97.5_quant"	"max"	"min_all_mean"	"max_all_mean"	"fold"
"1"	"Northeast Atlantic"	"N"	105.112390625548	116.232093988837	161.067905341234	155.483418225948	229.258374477737	239.219456605856	2.19814343240433	161.067905341234	73
"2"	"Northeast Atlantic"	"P"	8.04078667811551	10.4322506712246	14.75212662984	14.2813131980754	21.5185486270365	24.8009810426128	0.178917411399131	14.75212662984	82
"3"	"Northeast Atlantic"	"Fe"	0.0683270041642775	0.0697062207828172	0.140880518977873	0.129520354976062	0.25491326641393	0.26672139029681	0.00159713639277941	0.140880518977873	88
"4"	"Northeast Atlantic"	"Cu"	0.0127549936619732	0.0152571845409961	0.0380734007358615	0.0348264836445571	0.0742283127872157	0.0887237504995659	0.000849011252519002	0.0468360640415906	45
"5"	"Northeast Atlantic"	"Mn"	0.00225069206880063	0.00255780616571423	0.0048652309521839	0.00462483532389122	0.0087544708659104	0.00892156256415134	5.44586140875991e-05	0.0048652309521839	89
"6"	"Northeast Atlantic"	"Se"	0.00273383024441254	0.00300702733914359	0.00536710159500266	0.0050861721995114	0.00886571248574924	0.00999105824865767	6.61652733579054e-05	0.00536710159500266	81
"7"	"Northeast Atlantic"	"Zn"	0.0592998339199803	0.0639600000098408	0.102483601255563	0.0989220964478536	0.150427098562486	0.175906007305527	0.00144237777912596	0.102483601255563	71
"8"	"Northeast Atlantic"	"Co"	9.82878343926986e-05	0.000104792543097007	0.000176614077614781	0.000163736000135353	0.000350153850403016	0.00040281329907467	2.86603143537301e-06	0.000176970249275005	62
"9"	"Central North Atlantic"	"N"	89.2578679477192	105.596900367358	149.129671532381	142.754509923787	201.793979615935	215.768142139522	2.19814343240433	161.067905341234	68
"10"	"Central North Atlantic"	"P"	7.12953508091072	8.81772812051144	12.5939511785223	12.3073503816944	18.0392051781024	19.2944818828598	0.178917411399131	14.75212662984	70
"11"	"Central North Atlantic"	"Fe"	0.0568773052718166	0.065886035421855	0.123549189230928	0.115368856174173	0.219022217664812	0.270744399061275	0.00159713639277941	0.140880518977873	77
"12"	"Central North Atlantic"	"Cu"	0.0142188204940667	0.019032935204288	0.0468360640415906	0.0439330975182979	0.0861698287990154	0.0899576463838736	0.000849011252519002	0.0468360640415906	55
"13"	"Central North Atlantic"	"Mn"	0.00152236462645765	0.00191066286318384	0.0039628266344585	0.00379521759369058	0.00724340761035262	0.00819308936029885	5.44586140875991e-05	0.0048652309521839	73
"14"	"Central North Atlantic"	"Se"	0.00235037543406325	0.00271303630308165	0.00490167085457566	0.00483001533378846	0.00746473784092502	0.00839554860990382	6.61652733579054e-05	0.00536710159500266	74
"15"	"Central North Atlantic"	"Zn"	0.0524915601829336	0.0586927400912957	0.0978358872441243	0.096282222933665	0.144821278078969	0.152206068983847	0.00144237777912596	0.102483601255563	68
"16"	"Central North Atlantic"	"Co"	7.45723821935429e-05	9.43198979726749e-05	0.000176970249275005	0.000166041393310338	0.000314047580334891	0.000350383442999398	2.86603143537301e-06	0.000176970249275005	62
"17"	"Gulf of Alaska"	"N"	38.9174242796578	61.8159908221926	112.994837550784	103.665208897822	195.28328823785	259.456252191404	2.19814343240433	161.067905341234	51
"18"	"Gulf of Alaska"	"P"	4.0273514336636	4.56734359961869	9.71393546169623	8.87393412343229	20.738933545498	23.2345412954455	0.178917411399131	14.75212662984	54
"19"	"Gulf of Alaska"	"Fe"	0.0197293994981944	0.0269041752332878	0.104268050443087	0.0902853195636535	0.251978444187453	0.317997627237352	0.00159713639277941	0.140880518977873	65
"20"	"Gulf of Alaska"	"Cu"	0.00294618293217085	0.0045379648719121	0.0270111887872422	0.0230279674774713	0.061419913182978	0.0645929099202821	0.000849011252519002	0.0468360640415906	32
"21"	"Gulf of Alaska"	"Mn"	0.000832653455165569	0.00111878857979684	0.00300354628838208	0.00272747852987386	0.00584106327461534	0.00668944796987217	5.44586140875991e-05	0.0048652309521839	55
"22"	"Gulf of Alaska"	"Se"	0.00159875200327729	0.00174583585449923	0.00392204826897863	0.00362205250140839	0.00769836366173188	0.0112838605781265	6.61652733579054e-05	0.00536710159500266	59
"23"	"Gulf of Alaska"	"Zn"	0.0218228316039349	0.028533250216132	0.0703756911586374	0.0641659743162311	0.135102223883383	0.198368520515589	0.00144237777912596	0.102483601255563	49
"24"	"Gulf of Alaska"	"Co"	2.01970411461025e-05	3.27635818969743e-05	0.000117211388586979	0.000102225618898745	0.000282949243077769	0.000326637214151296	2.86603143537301e-06	0.000176970249275005	41
"25"	"Northwest Atlantic"	"N"	50.0270973536162	55.2350626732868	78.2894313920329	77.9456186261031	106.511738540587	110.794664774613	2.19814343240433	161.067905341234	36
"26"	"Northwest Atlantic"	"P"	4.25911583820494	5.08889110883637	7.38444801406984	7.12504120996227	10.9088509149173	11.7524979841412	0.178917411399131	14.75212662984	41
"27"	"Northwest Atlantic"	"Fe"	0.0331721851966801	0.0342423068707475	0.06663060837605	0.06347236370928	0.10473806372995	0.15850734942382	0.00159713639277941	0.140880518977873	42
"28"	"Northwest Atlantic"	"Cu"	0.00763420018003281	0.00974794243759789	0.0188885651558351	0.0176420579994794	0.0334130423468411	0.0442057003689095	0.000849011252519002	0.0468360640415906	22
"29"	"Northwest Atlantic"	"Mn"	0.00127591650784103	0.00141198357934321	0.00250883237960303	0.00225912516871676	0.00465167863965489	0.00624223737266957	5.44586140875991e-05	0.0048652309521839	46
"30"	"Northwest Atlantic"	"Se"	0.00144237694933698	0.0015618214183298	0.00253655937041634	0.00233547683733592	0.00401902307348099	0.00460711943003906	6.61652733579054e-05	0.00536710159500266	38
"31"	"Northwest Atlantic"	"Zn"	0.0280105295754532	0.0351921672001622	0.0506701051651724	0.048337386476452	0.0725348143301371	0.0968251336002302	0.00144237777912596	0.102483601255563	35
"32"	"Northwest Atlantic"	"Co"	4.78375378454467e-05	5.33170616407036e-05	9.3546218459194e-05	9.08300290180779e-05	0.000155511902306217	0.000164693125887886	2.86603143537301e-06	0.000176970249275005	33
"33"	"California current"	"N"	26.6016193423148	28.9838841714567	44.3559009238565	44.0871501019755	63.0762335913796	66.640125685645	2.19814343240433	161.067905341234	20
